Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,tangerang,lebak,serang,pandeglang
De Green Inn @aeropolis,1127,103500,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,150121.2222,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1128,103500,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,150121.2222,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1030,104000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,389429.1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
OYO 2471 Swarna Raya,1125,107333,lebak,0,7,-6.976026,106.3004455,0.658243287,777206.4,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1128,107333,lebak,0,7,-6.976026,106.3004455,0.658243287,397363.6667,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
De Green Inn @aeropolis,1125,109250,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,139926.7778,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1126,109250,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,144371.2222,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Hotel GBS Malingping,1027,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,472497.2,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1028,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,472497.2,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1029,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,497776,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1030,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,508335.6,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1031,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,471447.4,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1101,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,413737.4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1102,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,398719.3333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1103,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,369247.4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1104,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,369247.4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1105,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,442847.4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1106,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,443809.1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1107,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,381847.4,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1108,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,376939.6667,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1119,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,533830.4444,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1120,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,516304.1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1121,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,465097.4,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1122,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,491642.4,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1123,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,491538.1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1124,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,507658.2222,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1125,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,578561.7,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1126,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,560918.4444,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1127,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,562887.3333,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Hotel GBS Malingping,1128,120000,lebak,0,8.3,-6.7862734,106.0173411,0.419190206,427339.6667,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Green Stay Inn @Aeropolis Residence 2,1101,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,131652.2222,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1102,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,143815.7778,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1103,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,127536.4444,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1104,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,130707.7778,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1105,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,132318.8889,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1106,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,132318.8889,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1107,123500,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,132318.8889,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
OYO 2471 Swarna Raya,1031,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,440447.7,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1101,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,370540.2,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1102,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,375635.4444,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1103,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,389577.9,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1104,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,317571.7778,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1105,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,396928.1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1107,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,363569.7,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1119,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,452288.125,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1121,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,466120,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1122,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,468931.3,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1124,125974,lebak,0,7,-6.976026,106.3004455,0.658243287,496704,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
Green Stay Inn @Aeropolis Residence 2,1027,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,140030,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1028,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,143734.2,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1029,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,147734.2,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1030,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,138387,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1031,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,138387,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1108,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.005072997,119008.6667,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1119,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,117387.6,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1120,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,117468.7,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1121,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,120679,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1122,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,115757.5556,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1123,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,114106.2,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1124,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,113724.9,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1125,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,123037.8889,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1126,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,127482.3333,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1127,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,128121.2222,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Green Stay Inn @Aeropolis Residence 2,1128,128250,tangerang,1,7.8,-6.1428385,106.6290972,0.003076722,128121.2222,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1030,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,138135.9,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1031,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,138135.9,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1101,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,127182,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1103,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,123066.2222,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1104,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,126237.5556,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1105,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,127848.6667,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1106,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,127848.6667,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1107,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,127848.6667,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1108,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.004964927,118760.6667,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1119,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,117136.5,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1120,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,117217.6,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1121,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,120431,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1122,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,115509.5556,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1123,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,113855.1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
De Green Inn @aeropolis,1124,128529,tangerang,2,7.9,-6.1437329,106.6313823,0.002946961,113473.8,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
OYO 2471 Swarna Raya,1030,134856,lebak,0,7,-6.976026,106.3004455,0.658243287,426869,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
Opulence Aeropolis Hotel,1027,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,305737.875,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1028,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,343437.375,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1029,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,354128,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1030,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,300249.4444,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1031,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,273743,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1108,135185,tangerang,2,6.8,-6.216439,106.63129,0.01880696,284154.9,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1119,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,219584.875,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1120,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,328258.25,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1121,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,271049.7,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1122,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,205915.5,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1123,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,214177.1429,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1124,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,275694.5,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1125,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,313394,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1126,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,222514.5714,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1127,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,288740.2222,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Opulence Aeropolis Hotel,1128,135185,tangerang,2,6.9,-6.216439,106.63129,0.01880696,284712.5556,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
OYO 2471 Swarna Raya,1106,135591,lebak,0,7,-6.976026,106.3004455,0.658243287,385276.4,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1126,135766,lebak,0,7,-6.976026,106.3004455,0.658243287,502416.1111,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1123,135931,lebak,0,7,-6.976026,106.3004455,0.658243287,453520.6,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1029,136360,lebak,0,7,-6.976026,106.3004455,0.658243287,418051.8,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1027,136472,lebak,0,7,-6.976026,106.3004455,0.658243287,444066.8,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1028,136472,lebak,0,7,-6.976026,106.3004455,0.658243287,444066.8,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2471 Swarna Raya,1120,137041,lebak,0,7,-6.976026,106.3004455,0.658243287,593960.2,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
OYO 2110 Rotterdam Guest House Syariah,1027,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,144786.4,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1028,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,148775.7,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1029,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,159034.9,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1101,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,157932.4,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1102,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,157932.4,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1103,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,157932.4,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1104,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1105,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,158733.9,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1107,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1108,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1121,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1122,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1123,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,148366.8,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1124,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,153401.3,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1125,138061,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,148366.8,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1030,144964,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,155226.9,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 2110 Rotterdam Guest House Syariah,1031,144964,tangerang,2,7.6,-6.2274839,106.5903445,0.006081638,151862.5,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
OYO 3354 Homia Residence,1121,145155,tangerang,0,7.8,-6.261008,106.739139,0.023427962,253495.2,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0
OYO 3354 Homia Residence,1123,145155,tangerang,0,7.8,-6.261008,106.739139,0.023427962,300706,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
OYO 3354 Homia Residence,1124,145155,tangerang,0,7.8,-6.261008,106.739139,0.023427962,270766.6,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
OYO 3354 Homia Residence,1125,145155,tangerang,0,7.8,-6.261008,106.739139,0.023427962,343524.7,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
OYO 3354 Homia Residence,1126,145155,tangerang,0,7.8,-6.261008,106.739139,0.023427962,309125.3333,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
OYO 387 Alfa Guest House,1127,145355,tangerang,0,7,-6.2965744,106.6267768,0.027016496,392390.1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1027,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,216047.5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1028,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,226057.3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1029,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,228557.3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1030,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,231707.3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1031,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,229157.3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1101,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,219147.5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Hotel Mama Syariah at Ruko Kutajaya,1102,149000,tangerang,1,7.8,-6.1753654,106.5656224,0.047585837,216047.5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
